METRIC_DATE,TOTAL_CASES,CASES_RESOLVED,CASES_ESCALATED,AVG_RESOLUTION_TIME_HOURS,AVG_CSAT_SCORE,AVG_FIRST_RESPONSE_MINS
2025-12-01,17,14,2,6.3,4.2,19.9
2025-12-02,7,5,1,5.6,4.2,19.8
2025-12-03,7,5,1,12.9,3.7,18.2
2025-12-04,13,11,1,9.3,3.9,24.3
2025-12-05,17,12,2,9.3,3.7,11.4
2025-12-06,7,4,0,6.4,3.7,11.1
2025-12-07,17,12,1,12.6,3.8,15.5
2025-12-08,9,5,1,11.8,3.4,15.9
2025-12-09,8,4,0,13.4,4.1,15.8
2025-12-10,14,10,2,12.6,3.7,11.7
2025-12-11,12,9,0,8.8,3.9,16.2
2025-12-12,7,4,0,13.3,3.6,26.3
2025-12-13,16,11,1,7.2,3.4,18.8
2025-12-14,14,8,1,11.3,4.0,13.9
2025-12-15,15,11,1,11.9,3.3,14.5
2025-12-16,11,8,0,8.6,3.5,20.6
2025-12-17,20,18,3,8.9,4.1,19.1
2025-12-18,11,8,1,7.2,3.6,12.3
2025-12-19,19,17,1,11.7,3.1,26.8
2025-12-20,18,15,1,12.5,3.7,21.6
2025-12-21,9,7,1,18.2,4.3,13.0
2025-12-22,18,14,3,10.4,3.3,26.2
2025-12-23,7,4,0,9.1,3.6,13.1
2025-12-24,17,15,1,7.5,3.9,15.7
2025-12-25,8,5,1,6.1,3.7,13.2
2025-12-26,17,12,2,8.5,3.7,15.3
2025-12-27,5,3,0,11.1,3.7,22.0
2025-12-28,16,11,1,5.8,3.9,23.5
2025-12-29,20,12,3,8.9,3.8,25.6
2025-12-30,5,4,0,11.3,3.7,15.3
2025-12-31,12,9,1,8.5,4.2,9.3
2026-01-01,10,6,1,11.3,3.3,23.0
2026-01-02,11,8,1,12.1,3.8,16.6
2026-01-03,7,5,1,14.6,3.4,16.9
2026-01-04,11,8,0,12.4,3.4,13.7
2026-01-05,17,13,1,6.9,4.1,12.3
2026-01-06,14,12,1,8.8,3.5,18.2
2026-01-07,16,13,2,11.5,3.6,19.3
2026-01-08,17,12,2,3.5,3.6,20.8
2026-01-09,10,7,0,9.2,3.6,23.0
2026-01-10,6,5,1,8.0,3.8,13.2
2026-01-11,20,14,2,12.6,3.7,12.8
2026-01-12,10,6,0,10.2,3.5,17.0
2026-01-13,10,8,1,13.7,3.9,12.2
2026-01-14,8,6,0,1.1,3.5,9.9
2026-01-15,19,15,3,8.7,4.4,23.6
2026-01-16,12,8,2,7.4,3.9,20.2
2026-01-17,8,6,0,7.1,4.0,11.8
2026-01-18,16,14,2,6.3,4.0,20.0
2026-01-19,6,4,0,4.6,3.6,16.3
2026-01-20,14,9,1,15.5,2.9,17.0
2026-01-21,18,16,3,8.8,3.9,16.1
2026-01-22,9,6,1,12.4,3.2,15.4
2026-01-23,13,10,1,6.9,4.4,22.1
2026-01-24,7,5,1,7.9,3.0,12.4
2026-01-25,5,4,0,11.0,4.7,25.4
2026-01-26,16,14,2,3.7,4.4,20.6
2026-01-27,15,13,1,6.9,3.3,15.0
2026-01-28,20,17,3,10.1,3.7,11.3
2026-01-29,5,3,0,5.9,3.8,18.1
2026-01-30,18,12,2,12.9,4.2,24.3
2026-01-31,13,8,1,15.9,4.3,21.7
2026-02-01,10,6,1,9.2,3.1,16.0
2026-02-02,8,4,0,10.6,4.0,20.7
2026-02-03,19,11,2,13.7,2.7,15.6
2026-02-04,7,4,0,10.7,3.9,15.8
2026-02-05,16,14,1,10.7,3.1,28.5
2026-02-06,9,5,1,17.0,3.6,16.1
2026-02-07,16,13,2,11.8,4.1,14.2
2026-02-08,7,6,0,4.5,4.3,23.7
2026-02-09,16,14,1,11.5,4.0,23.5
2026-02-10,14,12,2,11.9,4.1,12.0
2026-02-11,14,9,1,11.1,4.2,12.7
2026-02-12,12,9,0,5.8,3.3,18.0
2026-02-13,5,4,0,14.0,4.4,13.7
2026-02-14,10,8,1,8.8,3.8,17.1
2026-02-15,7,4,0,16.5,3.3,14.7
2026-02-16,18,13,1,11.5,3.5,13.2
2026-02-17,9,6,0,8.0,3.8,20.2
2026-02-18,17,13,2,6.5,3.5,12.2
2026-02-19,14,11,2,10.6,3.7,22.6
2026-02-20,19,15,1,11.7,3.5,11.7
2026-02-21,10,6,1,9.5,3.6,23.8
2026-02-22,13,8,0,8.9,3.9,14.1
2026-02-23,8,6,0,10.8,3.5,25.3
2026-02-24,7,5,0,11.8,4.5,21.4
2026-02-25,10,7,0,13.1,4.1,17.4
2026-02-26,5,3,0,7.9,3.8,23.6
2026-02-27,17,15,1,10.8,3.8,20.6
2026-02-28,18,12,1,5.5,4.1,15.8
